"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"581","Tyler Tucker","STL","D","22","280.08333333333","2","2","1","1","4","44.44","20","10.00","0.46","49","29","13","0","3","6","28","8","4","4","0","6","16","6","38","41","19","0","0","-"
"633","Arthur Kaliyev","NYR","R","14","152.65","3","1","1","0","4","57.14","21","14.29","1.9","33","27","17","7","2","2","2","1","1","0","0","0","4","0","7","10","2","0","0","-"
"677","Louis Crevier","CHI","D","27","425.08333333333","3","1","0","1","4","28.57","25","12.00","0.86","60","40","14","2","5","5","10","5","5","0","0","2","26","3","50","52","41","0","0","-"
"738","Matt Rempe","NYR","C","30","238.96666666667","2","2","1","1","4","40.00","21","9.52","2.67","37","33","24","14","2","5","50","15","10","4","1","12","5","4","88","34","7","2","7","22.22"
"762","Aatu Raty","VAN","C","21","194.63333333333","2","2","0","2","4","66.67","13","15.38","0.78","21","16","10","3","0","1","8","4","4","0","0","2","4","1","52","11","3","92","75","55.09"
"773","Logan Mailloux","MTL","D","7","106.03333333333","2","2","1","1","4","57.14","10","20.00","0.83","21","13","8","3","0","4","4","2","2","0","0","0","4","0","9","13","8","0","0","-"
"794","Zack Ostapchuk","OTT","C","43","379.23333333333","1","3","1","2","4","66.67","19","5.26","2.31","41","34","24","12","0","0","26","10","8","2","0","10","12","7","85","46","10","82","85","49.10"
"836","Marc Gatcomb","NYI","C","21","188.58333333333","3","1","0","1","4","66.67","15","20.00","1.53","35","24","21","10","0","3","11","4","3","1","0","2","6","4","78","29","9","3","5","37.50"
"844","Victor Mancini","NYR, VAN","D","19","275.15","1","3","1","2","4","44.44","23","4.35","0.95","40","30","7","3","2","4","2","1","1","0","0","0","19","2","17","33","24","0","0","-"
"44","Travis Hamonic","OTT","D","51","760.43333333333","0","3","0","3","3","27.27","63","0.00","2.26","161","103","47","5","9","12","13","5","4","1","0","3","51","15","57","79","66","0","0","-"
"205","Vinnie Hinostroza","MIN, NSH","C","24","276","1","2","1","1","3","37.50","21","4.76","2.17","58","42","20","14","3","5","6","3","3","0","0","4","21","4","19","23","9","1","6","14.29"
"265","Joel Hanley","CGY","D","35","549.15","0","3","1","2","3","16.67","22","0.00","0.7","75","47","17","0","1","3","13","5","4","1","0","4","37","3","36","67","53","0","0","-"
"368","Mitchell Stephens","SEA","C","28","215.58333333333","1","2","2","0","3","75.00","19","5.26","2.03","35","28","19","9","3","4","6","3","3","0","0","2","8","0","24","8","4","77","58","57.04"
"396","Rodrigo Abols","PHI","C","12","112.93333333333","2","1","1","0","3","60.00","14","14.29","1.89","28","19","15","10","1","3","2","1","1","0","0","1","8","1","12","10","9","29","28","50.88"
"397","Philippe Myers","TOR","D","29","440.6","1","2","0","2","3","27.27","39","2.56","1.22","106","61","27","1","1","2","11","4","3","1","0","3","28","10","65","46","26","0","0","-"
"454","Vincent Desharnais","PIT, S.J, VAN","D","46","644.55","0","3","0","3","3","18.75","27","0.00","0.92","89","57","17","1","5","2","45","18","15","3","0","11","34","3","69","55","56","0","0","-"
"466","Zack MacEwen","OTT","R","21","161.78333333333","2","1","0","1","3","60.00","25","8.00","1.82","46","34","20","6","4","6","21","6","3","3","0","6","7","3","49","17","7","6","8","42.86"
"474","Jonah Gadjovich","FLA","L","28","214.18333333333","3","0","0","0","3","60.00","27","11.11","3.77","55","42","31","19","4","7","31","8","3","5","0","8","4","1","76","21","7","3","1","75.00"
"561","Akil Thomas","L.A","C","23","221.5","1","2","1","1","3","75.00","19","5.26","2.49","32","23","16","10","0","4","5","1","0","1","0","3","4","1","37","29","10","14","22","38.89"
"672","Andre Lee","L.A","L","19","171.95","1","2","2","0","3","100.00","17","5.88","2.08","30","23","18","10","2","2","11","4","3","1","0","5","8","4","36","32","10","0","0","-"
"711","Emil Andrae","PHI","D","26","419.51666666667","1","2","2","0","3","17.65","30","3.33","1.69","75","42","20","6","2","6","8","4","4","0","0","2","31","9","27","59","31","0","0","-"
"715","Jack Thompson","S.J","D","24","324.83333333333","3","0","0","0","3","33.33","29","10.34","0.9","66","40","18","6","4","7","10","5","5","0","0","0","26","4","10","27","33","0","0","-"
"726","Landon Slaggert","CHI","L","16","183.06666666667","2","1","1","0","3","50.00","18","11.11","2.21","29","24","20","14","1","2","15","5","4","1","0","3","4","4","18","16","7","0","0","-"
"733","Rory Kerins","CGY","C","5","54.733333333333","0","3","1","2","3","75.00","2","0.00","0.66","9","6","3","1","1","1","0","0","0","0","0","1","5","0","4","2","2","2","3","40.00"
"742","Adam Wilsby","NSH","D","23","372","1","2","0","2","3","21.43","31","3.23","1.18","72","41","19","6","5","8","6","3","3","0","0","3","21","9","18","42","16","0","0","-"
"746","Matthew Kessel","STL","D","28","350.13333333333","0","3","2","1","3","23.08","17","0.00","0.86","54","30","22","4","3","4","10","5","5","0","0","4","29","6","20","32","22","0","0","-"
"751","Walker Duehr","CGY, S.J","R","24","204.53333333333","2","1","1","0","3","75.00","14","14.29","1.79","32","23","15","9","1","1","0","0","0","0","0","0","12","0","48","17","14","1","8","11.11"
"771","Samuel Helenius","L.A","C","31","258.36666666667","1","2","0","2","3","75.00","17","5.88","2.02","42","30","20","11","1","3","21","6","3","3","0","4","10","2","94","17","12","67","83","44.67"
"804","Seamus Casey","N.J","D","10","103.28333333333","2","1","1","0","3","50.00","7","28.57","0.26","16","9","8","0","0","2","0","0","0","0","0","1","8","2","7","10","7","0","0","-"
"811","David Jiricek","CBJ, MIN","D","12","138.16666666667","1","2","1","1","3","60.00","8","12.50","0.22","23","14","5","1","3","2","4","2","2","0","0","3","15","3","12","18","7","0","0","-"
"817","Maveric Lamoureux","UTA","D","15","228.5","1","2","1","1","3","33.33","17","5.88","0.8","40","28","11","2","2","5","40","13","10","2","1","4","14","1","18","24","9","0","0","-"
"818","Jonathan Lekkerimaki","VAN","R","15","164.35","2","1","1","0","3","75.00","19","10.53","2.13","38","27","19","7","1","7","2","1","1","0","0","2","7","1","8","11","4","0","0","-"
"822","Fraser Minten","TOR","C","15","161.58333333333","2","1","1","0","3","75.00","13","15.38","1.38","31","23","16","5","1","2","0","0","0","0","0","0","2","1","35","12","8","48","53","47.52"
"827","Liam Ohgren","MIN","L","23","226.88333333333","1","2","1","1","3","50.00","26","3.85","2.46","55","42","25","13","3","4","0","0","0","0","0","1","7","4","25","16","12","0","0","-"
"828","Owen Pickering","PIT","D","25","332.53333333333","1","2","0","2","3","33.33","15","6.67","0.49","50","27","12","2","0","6","6","3","3","0","0","2","10","5","11","27","14","0","0","-"
"867","Juha Jaaska","CAR","L","17","144.81666666667","0","3","1","2","3","60.00","11","0.00","1.96","25","19","14","8","2","3","9","3","2","1","0","2","6","1","17","28","3","15","14","51.72"
"11","Ryan Reaves","TOR","R","35","271.13333333333","0","2","1","1","2","66.67","14","0.00","1.41","31","25","14","7","3","2","18","6","4","2","0","5","10","4","103","10","8","0","1","0.00"
"14","Erik Johnson","COL, PHI","D","23","262.83333333333","1","1","0","1","2","25.00","14","7.14","0.79","30","21","11","1","0","7","13","5","4","1","0","2","17","7","40","24","13","0","0","-"
"27","Robert Bortuzzo","UTA","D","16","149.76666666667","0","2","1","1","2","66.67","7","0.00","0.55","16","12","7","1","1","1","20","7","5","2","0","4","15","0","19","23","18","0","0","-"
"63","Nick Leddy","STL","D","15","264.43333333333","1","1","1","0","2","13.33","15","6.67","0.49","31","20","11","2","1","5","2","1","1","0","0","0","22","5","2","12","12","0","0","-"
"109","Dylan McIlrath","WSH","D","11","116.83333333333","0","2","1","1","2","33.33","4","0.00","0.14","16","6","3","0","0","2","14","4","2","2","0","3","11","3","24","9","7","0","0","-"
"119","Michael Sgarbossa","WSH","C","3","27.933333333333","1","1","1","0","2","66.67","1","100.00","0.1","4","1","3","1","1","0","2","1","1","0","0","3","0","0","1","2","1","9","10","47.37"
"139","Matt Nieto","PIT","L","31","309.88333333333","1","1","1","0","2","40.00","28","3.57","2.35","41","35","24","14","2","2","2","1","1","0","0","0","17","1","37","31","14","2","1","66.67"
"209","Liam O'Brien","UTA","C","25","232.98333333333","0","2","1","1","2","25.00","29","0.00","4.13","64","47","41","17","0","7","50","12","5","6","1","8","8","1","94","18","9","0","3","0.00"
"214","Kyle Burroughs","L.A","D","29","205.81666666667","0","2","2","0","2","22.22","5","0.00","0.07","19","9","2","0","0","4","31","11","8","3","0","4","17","2","35","41","11","0","0","-"
"222","John Hayden","SEA","C","9","71.116666666667","1","1","1","0","2","66.67","6","16.67","1.1","14","9","7","5","1","4","14","3","2","0","1","3","1","1","22","3","8","3","2","60.00"
"296","Nicolas Aube-Kubel","BUF","R","19","179.68333333333","1","1","1","0","2","50.00","18","5.56","2.07","38","29","21","9","3","2","17","7","6","1","0","4","11","8","33","17","3","4","2","66.67"
"426","Tyson Jost","CAR","C","23","206.01666666667","2","0","0","0","2","50.00","20","10.00","2.21","37","29","27","11","3","5","14","7","7","0","0","4","3","4","28","25","10","39","48","44.83"
"432","Keaton Middleton","COL","D","29","293.76666666667","0","2","1","1","2","22.22","31","0.00","1.25","74","48","15","0","2","4","19","8","7","1","0","2","15","2","50","21","22","0","0","-"
"470","Vinni Lettieri","BOS","C","11","126.78333333333","2","0","0","0","2","66.67","18","11.11","2.18","34","29","18","7","3","4","4","2","2","0","0","1","3","4","29","13","7","7","6","53.85"
"502","Pierre-Olivier Joseph","PIT, STL","D","47","649.1","0","2","1","1","2","13.33","40","0.00","1.6","120","60","27","4","3","13","43","15","13","1","1","6","51","18","34","54","27","0","0","-"
"530","Sean Durzi","UTA","D","12","200.86666666667","1","1","0","1","2","20.00","11","9.09","0.63","39","22","9","4","2","3","11","4","3","1","0","2","16","4","4","23","15","0","0","-"
"578","Connor Dewar","PIT, TOR","C","33","288.11666666667","0","2","0","2","2","66.67","28","0.00","4.16","56","39","36","21","2","8","5","1","0","1","0","4","20","5","79","33","19","37","53","41.11"
"597","Cole Reinhardt","OTT","L","17","139.43333333333","1","1","1","0","2","50.00","13","7.69","1.24","22","17","17","8","0","0","15","6","5","1","0","2","7","1","37","13","2","1","0","100.00"
"603","John Ludvig","COL","D","8","101.11666666667","0","2","0","2","2","100.00","9","0.00","0.24","13","10","3","1","0","0","6","3","3","0","0","1","5","1","16","8","6","0","0","-"
"611","Noah Philp","EDM","C","12","101.56666666667","0","2","1","1","2","40.00","11","0.00","1.46","23","17","10","6","1","3","2","1","1","0","0","0","5","1","9","9","5","28","41","40.58"
"675","Nikita Nesterenko","ANA","C","7","66.4","1","1","1","0","2","100.00","5","20.00","0.7","12","8","7","4","3","0","0","0","0","0","0","0","5","0","16","2","3","0","2","0.00"
"743","Nils Aman","VAN","C","8","79.166666666667","0","2","0","2","2","100.00","4","0.00","0.87","9","6","7","5","0","1","0","0","0","0","0","0","1","0","13","1","0","9","17","34.62"
"749","Alex Steeves","TOR","C","7","66.65","1","1","0","1","2","66.67","7","14.29","0.67","12","11","6","3","0","1","0","0","0","0","0","1","0","0","19","11","1","0","0","-"
"787","Nikita Chibrikov","WPG","R","4","42.333333333333","2","0","0","0","2","100.00","5","40.00","0.9","9","8","8","4","0","0","0","0","0","0","0","2","3","1","8","6","4","0","0","-"
"790","Ethan Del Mastro","CHI","D","15","259.41666666667","2","0","0","0","2","28.57","11","18.18","0.61","29","15","10","1","2","2","2","1","1","0","0","2","12","4","23","31","13","0","0","-"
"800","Marc McLaughlin","BOS","C","12","108.76666666667","2","0","0","0","2","66.67","13","15.38","1.43","22","18","13","7","4","5","0","0","0","0","0","2","6","2","23","5","6","12","16","42.86"
"824","Ivan Miroshnichenko","WSH","L","18","150.43333333333","0","2","1","1","2","50.00","13","0.00","2.26","30","24","17","6","2","1","0","0","0","0","0","1","10","3","28","11","8","0","0","-"
"842","Elias Pettersson","VAN","D","14","181.23333333333","0","2","1","1","2","66.67","12","0.00","0.66","40","25","7","0","0","4","2","1","1","0","0","5","13","0","19","19","11","0","0","-"
"9","Marc-Edouard Vlasic","S.J","D","15","213.16666666667","0","1","1","0","1","16.67","6","0.00","0.23","24","12","6","1","1","2","0","0","0","0","0","1","17","3","3","21","25","0","0","-"
"48","Matt Martin","NYI","L","24","185.78333333333","0","1","1","0","1","33.33","12","0.00","1.43","24","23","11","6","0","1","10","2","0","2","0","3","11","1","68","7","15","4","4","50.00"
"51","Tyler Johnson","BOS","C","9","105.25","0","1","0","1","1","25.00","6","0.00","0.31","15","10","6","2","3","1","10","5","5","0","0","3","2","0","5","9","2","7","3","70.00"
"68","Tyson Barrie","CGY","D","13","177.36666666667","1","0","0","0","1","25.00","17","5.88","0.49","34","22","9","0","1","5","4","2","2","0","0","1","11","1","10","12","10","0","0","-"
"76","Nicolas Deslauriers","PHI","L","16","107.91666666667","0","1","0","1","1","20.00","9","0.00","1.26","23","17","16","7","0","3","15","3","0","3","0","3","3","0","38","3","4","1","0","100.00"
"103","Chris Wagner","COL","R","24","149.85","1","0","0","0","1","100.00","24","4.17","2.4","43","36","18","10","4","6","9","3","2","1","0","5","4","1","49","16","8","26","35","42.62"
"116","Kevin Gravel","NSH","D","6","99.066666666667","0","1","1","0","1","25.00","6","0.00","0.25","19","11","3","1","1","0","0","0","0","0","0","0","7","0","6","15","7","0","0","-"
"128","T.J. Tynan","COL","C","8","55.55","0","1","0","1","1","100.00","2","0.00","0.15","6","5","1","0","1","0","4","2","2","0","0","0","4","0","4","4","3","6","11","35.29"
"134","Joseph LaBate","CBJ","C","6","54.633333333333","0","1","0","1","1","33.33","3","0.00","0.39","5","4","3","1","0","1","10","2","0","2","0","4","1","0","14","3","11","0","2","0.00"
"200","Andreas Athanasiou","CHI","C","8","78.633333333333","1","0","0","0","1","25.00","8","12.50","0.78","15","12","9","4","0","0","0","0","0","0","0","0","2","2","6","1","6","25","28","47.17"
"213","Chad Ruhwedel","NYR","D","5","58.433333333333","0","1","1","0","1","33.33","1","0.00","0.05","7","4","1","0","0","0","0","0","0","0","0","0","4","1","6","6","4","0","0","-"
"220","Joshua Brown","EDM","D","8","81.783333333333","0","1","0","1","1","50.00","5","0.00","0.19","13","8","3","0","0","0","9","3","2","1","0","2","3","0","13","11","9","0","0","-"
"221","Hudson Fasching","NYI","R","26","240.51666666667","0","1","1","0","1","50.00","16","0.00","1.8","35","27","16","11","1","5","2","1","1","0","0","3","15","5","19","26","6","1","3","25.00"
"232","Ryan Graves","PIT","D","46","606.31666666667","0","1","0","1","1","8.33","31","0.00","1.21","108","56","29","1","3","5","25","7","5","1","1","9","41","16","44","54","40","0","0","-"
"269","Patrick Brown","BOS","C","5","48.366666666667","0","1","1","0","1","100.00","5","0.00","0.34","8","6","5","2","1","0","2","1","1","0","0","0","5","1","14","4","5","4","3","57.14"
"295","Andreas Englund","L.A, NSH","D","21","248.4","1","0","0","0","1","12.50","11","9.09","0.23","24","17","5","0","3","1","36","8","3","4","1","5","15","3","40","28","20","0","0","-"
"313","Clark Bishop","CGY","C","6","39.666666666667","1","0","0","0","1","100.00","4","25.00","0.26","4","4","2","2","0","0","0","0","0","0","0","0","2","0","8","4","1","5","8","38.46"
"363","Jeremy Lauzon","NSH","D","28","411.95","0","1","0","1","1","12.50","23","0.00","1.05","66","37","16","2","2","6","35","13","10","3","0","6","17","4","121","33","25","0","0","-"
"399","Andrew Poturalski","S.J","C","3","39.516666666667","0","1","0","1","1","100.00","4","0.00","0.2","5","4","3","2","2","1","2","1","1","0","0","0","1","0","0","4","4","21","21","50.00"
"403","Joey Anderson","CHI","R","18","190.53333333333","0","1","1","0","1","33.33","15","0.00","1.41","27","18","14","7","1","3","0","0","0","0","0","1","4","7","11","19","11","0","0","-"
"420","Kieffer Bellows","NSH","L","7","74.2","1","0","0","0","1","100.00","11","9.09","1.29","25","17","14","6","1","2","4","2","2","0","0","2","5","2","15","10","2","0","0","-"
"424","Max Jones","BOS, EDM","L","10","97.166666666667","0","1","1","0","1","50.00","4","0.00","0.17","10","5","4","1","1","0","10","5","5","0","0","1","4","1","24","6","4","0","0","-"
"448","Drake Caggiula","EDM","L","7","50.216666666667","0","1","1","0","1","50.00","6","0.00","0.34","9","7","7","2","1","1","5","1","0","1","0","2","3","0","8","6","3","1","0","100.00"
"453","Tanner Laczynski","VGK","C","8","66.7","1","0","0","0","1","100.00","2","50.00","0.88","6","4","4","3","0","0","6","3","3","0","0","1","0","0","3","11","3","16","20","44.44"
"468","Dominik Shine","DET","R","6","51.966666666667","0","1","0","1","1","100.00","2","0.00","0.34","5","3","2","2","0","0","5","1","0","1","0","2","2","2","13","10","2","0","0","-"
"477","Cale Fleury","SEA","D","7","77.9","0","1","0","1","1","25.00","6","0.00","0.27","15","11","4","1","1","1","0","0","0","0","0","1","4","2","10","11","13","0","0","-"
"506","Ian Mitchell","BOS","D","5","65.266666666667","0","1","0","1","1","33.33","4","0.00","0.13","8","7","1","0","0","0","0","0","0","0","0","1","2","2","2","8","5","0","0","-"
"522","Olle Lycksell","PHI","R","9","96.95","0","1","0","1","1","100.00","5","0.00","0.91","16","10","10","5","0","0","2","1","1","0","0","0","5","1","3","6","4","1","1","50.00"
"527","Grant Hutton","NYI","D","13","157.68333333333","0","1","0","1","1","25.00","9","0.00","0.51","18","13","5","0","3","0","4","2","2","0","0","0","7","2","13","6","12","0","0","-"
"549","Patrick Giles","FLA, S.J","R","11","83.216666666667","1","0","0","0","1","50.00","9","11.11","0.79","11","11","9","4","0","1","0","0","0","0","0","0","6","1","18","7","4","18","40","31.03"
"572","Ty Smith","CAR","D","8","87.616666666667","0","1","1","0","1","25.00","10","0.00","0.42","20","14","7","1","1","4","2","1","1","0","0","0","3","1","2","5","5","0","0","-"
"585","Linus Karlsson","VAN","C","9","84.35","1","0","0","0","1","33.33","8","12.50","1.22","12","9","6","5","0","1","0","0","0","0","0","1","1","1","8","14","2","0","1","0.00"
"587","Jack St. Ivany","PIT","D","19","263.43333333333","0","1","0","1","1","14.29","12","0.00","0.38","35","22","8","1","3","2","17","7","6","1","0","5","16","7","35","11","19","0","0","-"
"638","Ville Heinola","WPG","D","17","229.61666666667","0","1","0","1","1","11.11","11","0.00","0.48","37","25","7","1","0","3","4","2","2","0","0","3","13","7","7","26","14","0","0","-"
"644","Sam Poulin","PIT","R","6","59.1","0","1","0","1","1","50.00","2","0.00","0.34","8","7","2","1","0","1","2","1","1","0","0","1","7","2","8","8","0","0","0","-"
"663","Valtteri Puustinen","PIT","R","10","86.683333333333","0","1","1","0","1","100.00","4","0.00","0.65","6","5","5","4","0","1","2","1","1","0","0","1","3","3","5","4","5","0","0","-"
"667","Mat?j Blümel","DAL","R","7","58.4","1","0","0","0","1","100.00","10","10.00","1.15","15","12","9","5","2","0","0","0","0","0","0","1","2","1","6","5","1","0","0","-"
"689","Justin Sourdif","FLA","R","1","9.45","1","0","0","0","1","100.00","2","50.00","0.18","2","2","1","1","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","-"
"697","Danil Gushchin","S.J","L","10","106.05","0","1","1","0","1","33.33","10","0.00","1.46","26","20","14","9","4","0","6","3","3","0","0","2","0","0","5","5","5","1","0","100.00"
"699","Ozzy Wiesblatt","NSH","C","4","42.783333333333","0","1","1","0","1","50.00","3","0.00","0.34","7","5","6","2","1","1","0","0","0","0","0","1","1","0","8","8","2","0","0","-"
"725","Helge Grans","PHI","D","6","81.716666666667","0","1","0","1","1","33.33","4","0.00","0.34","12","7","5","2","1","1","0","0","0","0","0","0","8","2","3","10","5","0","0","-"
"730","Isaak Phillips","CHI","D","3","34.6","1","0","0","0","1","50.00","2","50.00","0.04","4","2","0","0","0","0","0","0","0","0","0","0","2","0","3","2","4","0","0","-"
"732","Ethan Cardwell","S.J","R","6","62.133333333333","1","0","0","0","1","50.00","5","20.00","0.58","11","8","5","2","1","2","2","1","1","0","0","1","5","1","8","1","3","1","1","50.00"
"735","Callahan Burke","VGK","C","7","75.183333333333","1","0","0","0","1","25.00","12","8.33","1.41","17","15","10","4","1","0","2","1","1","0","0","0","3","0","0","8","3","1","0","100.00"
"739","Ilya Solovyov","CGY","D","5","64.866666666667","0","1","1","0","1","100.00","6","0.00","0.06","18","9","3","0","1","2","2","1","1","0","0","1","5","3","10","11","8","0","0","-"
"755","Dylan Duke","T.B","L","2","15.716666666667","1","0","0","0","1","100.00","1","100.00","0.09","1","1","1","1","0","0","0","0","0","0","0","0","0","0","5","3","0","0","0","-"
"757","Scott Morrow","CAR","D","4","47.916666666667","0","1","1","0","1","50.00","6","0.00","0.4","11","9","3","0","0","1","0","0","0","0","0","1","2","1","0","7","5","0","0","-"
"781","Ryan Winterton","SEA","C","8","81.566666666667","0","1","1","0","1","33.33","8","0.00","0.53","12","8","6","1","0","0","0","0","0","0","0","2","3","0","13","5","4","0","1","0.00"
"786","Oliver Kapanen","MTL","C","12","114.26666666667","0","1","0","1","1","33.33","12","0.00","0.82","20","14","10","6","1","1","2","1","1","0","0","3","6","0","1","10","6","17","19","47.22"
"796","Tyson Kozak","BUF","C","11","108.58333333333","1","0","0","0","1","50.00","6","16.67","1.7","22","16","14","9","1","4","0","0","0","0","0","1","9","1","11","6","16","36","38","48.65"
"799","Arshdeep Bains","VAN","L","13","126.11666666667","1","0","0","0","1","33.33","8","12.50","1.33","15","11","7","4","1","1","0","0","0","0","0","0","4","1","17","7","7","3","1","75.00"
"801","Declan Carlile","T.B","D","3","38.65","1","0","0","0","1","50.00","3","33.33","0.12","8","6","2","0","0","0","0","0","0","0","0","0","3","0","1","4","2","0","0","-"
"802","Owen Beck","MTL","C","12","119.71666666667","0","1","0","1","1","50.00","9","0.00","1.06","17","14","8","4","2","0","0","0","0","0","0","2","11","1","23","26","8","21","18","53.85"
"816","Brad Lambert","WPG","C","5","49.616666666667","0","1","0","1","1","100.00","1","0.00","0.14","8","3","4","2","0","0","2","1","1","0","0","0","1","0","5","4","4","4","8","33.33"
"830","Matt Savoie","EDM","C","3","48.7","0","1","1","0","1","50.00","6","0.00","1.24","15","10","14","5","0","1","0","0","0","0","0","0","1","1","3","2","1","4","2","66.67"
"835","Lucas Condotta","MTL","L","7","55.6","1","0","0","0","1","50.00","5","20.00","0.51","9","7","7","2","0","0","0","0","0","0","0","0","2","0","10","3","3","17","12","58.62"
"838","Georgii Merkulov","BOS","C","6","71.616666666667","0","1","1","0","1","33.33","6","0.00","0.65","10","10","5","2","1","1","2","1","1","0","0","1","2","1","2","7","7","0","0","-"
"841","Adam Klapka","CGY","R","13","103.08333333333","1","0","0","0","1","50.00","16","6.25","1.25","28","23","14","9","2","2","15","6","5","1","0","4","2","2","43","14","11","3","5","37.50"
"847","Parker Ford","WPG","C","3","22.8","1","0","0","0","1","50.00","2","50.00","0.44","4","4","2","2","0","1","2","1","1","0","0","0","1","2","5","3","1","0","0","-"
"854","Calum Ritchie","COL","C","7","75.3","1","0","0","0","1","100.00","8","12.50","1.2","16","14","9","6","0","2","0","0","0","0","0","0","4","1","5","7","2","2","4","33.33"
"864","Justin Hryckowian","DAL","C","5","39.216666666667","0","1","1","0","1","100.00","3","0.00","0.25","4","4","2","1","0","2","0","0","0","0","0","1","2","0","8","8","0","3","2","60.00"
"868","Arttu Hyry","DAL","R","5","45.183333333333","0","1","1","0","1","100.00","5","0.00","0.24","8","5","2","1","0","1","0","0","0","0","0","1","1","1","4","3","3","11","5","68.75"
"87","Calle Jarnkrok","TOR","C","3","31.216666666667","0","0","0","0","0","-","1","0.00","0.32","7","4","4","1","0","1","2","1","1","0","0","0","0","0","5","3","2","0","0","-"
"95","Alex Petrovic","DAL","D","3","35.216666666667","0","0","0","0","0","-","1","0.00","0.09","8","4","1","0","0","1","2","1","1","0","0","0","2","0","8","6","3","0","0","-"
"101","Austin Watson","DET","L","2","13.9","0","0","0","0","0","-","1","0.00","0.01","1","1","0","0","0","0","2","1","1","0","0","0","1","0","6","2","0","0","0","-"
"106","Erik Gudbranson","CBJ","D","3","36.9","0","0","0","0","0","0.00","1","0.00","0.04","5","2","1","0","0","0","2","1","1","0","0","0","3","0","3","3","2","0","0","-"
"113","Jani Hakanpää","TOR","D","2","26.066666666667","0","0","0","0","0","0.00","2","0.00","0.03","5","2","1","0","1","0","0","0","0","0","0","0","6","0","1","2","4","0","0","-"
"123","Travis Boyd","MIN","C","3","21.933333333333","0","0","0","0","0","-","0","-","0.07","3","1","1","1","0","1","0","0","0","0","0","0","2","0","1","2","3","0","0","-"
"133","Mike Reilly","NYI","D","11","147.78333333333","0","0","0","0","0","0.00","11","0.00","0.47","28","22","5","0","0","1","2","1","1","0","0","1","11","0","3","13","4","0","0","-"
"168","Brendan Gaunce","MIN","C","7","64.416666666667","0","0","0","0","0","-","4","0.00","0.53","12","8","4","1","0","2","4","2","2","0","0","0","7","2","8","5","1","14","18","43.75"
"198","Dominic Toninato","WPG","C","4","29.933333333333","0","0","0","0","0","-","1","0.00","0.05","2","2","1","0","0","0","0","0","0","0","0","0","1","0","4","2","1","1","0","100.00"
"204","Matthew Benning","S.J","D","7","82.633333333333","0","0","0","0","0","0.00","7","0.00","0.42","15","9","3","1","0","3","4","2","2","0","0","1","4","1","8","9","9","0","0","-"
"207","Ben Hutton","VGK","D","5","55.116666666667","0","0","0","0","0","0.00","6","0.00","0.17","9","8","2","0","0","0","0","0","0","0","0","0","0","0","3","9","5","0","0","-"
"210","Kurtis MacDermid","N.J","L","21","118.66666666667","0","0","0","0","0","0.00","6","0.00","0.8","14","11","10","6","1","2","23","7","4","3","0","4","9","0","35","8","7","0","0","-"
"211","Scott Sabourin","S.J","R","1","10.45","0","0","0","0","0","-","0","-","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0","0","-"
"239","Robert Hagg","VGK","D","2","22.283333333333","0","0","0","0","0","-","0","-","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","11","2","2","0","0","-"
"240","Steven Santini","T.B","D","1","11.616666666667","0","0","0","0","0","0.00","1","0.00","0.06","3","3","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2","0","0","-"
"263","Dakota Mermis","UTA","D","1","10.166666666667","0","0","0","0","0","0.00","1","0.00","0.01","4","1","2","0","0","1","2","1","1","0","0","0","0","0","0","0","1","0","0","-"
"266","Conor Sheary","T.B","L","5","55.15","0","0","0","0","0","0.00","2","0.00","0.57","7","4","5","3","0","0","4","2","2","0","0","2","0","0","2","5","1","0","1","0.00"
"283","Sonny Milano","WSH","L","3","21.183333333333","0","0","0","0","0","-","4","0.00","0.5","4","4","4","2","0","1","0","0","0","0","0","1","1","0","1","3","0","0","0","-"
"304","Mark Friedman","VAN","D","5","66.9","0","0","0","0","0","0.00","4","0.00","0.1","8","6","2","0","0","0","10","1","0","0","1","0","1","2","6","8","5","0","0","-"
"306","William Lagesson","DET","D","2","29.8","0","0","0","0","0","-","2","0.00","0.09","4","3","0","0","0","0","2","1","1","0","0","1","5","0","1","6","2","0","0","-"
"321","Bokondji Imama","PIT","L","10","49.3","0","0","0","0","0","0.00","4","0.00","0.23","6","6","2","0","0","0","9","3","2","1","0","1","0","0","24","4","2","0","0","-"
"323","Dryden Hunt","CGY","L","1","12.2","0","0","0","0","0","-","2","0.00","0.16","4","2","2","1","0","0","0","0","0","0","0","0","1","0","3","0","0","0","0","-"
"330","Colin White","S.J","C","3","20.283333333333","0","0","0","0","0","-","1","0.00","0.47","3","3","3","2","0","0","0","0","0","0","0","0","1","0","2","5","1","2","10","16.67"
"335","Travis Dermott","EDM, MIN","D","19","222.45","0","0","0","0","0","0.00","8","0.00","0.28","24","14","8","0","1","0","2","1","1","0","0","1","8","3","6","26","15","0","0","-"
