"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"608","Nico Sturm","FLA, S.J","C","49","435.8","6","6","4","2","12","80.00","39","15.38","4.95","78","60","42","29","4","6","13","5","4","1","0","4","16","2","74","31","22","169","94","64.26"
"637","Alex Vlasic","CHI","D","65","1193.9333333333","2","10","5","5","12","24.00","68","2.94","2.74","149","106","38","7","1","13","8","4","4","0","0","5","68","36","42","113","93","0","0","-"
"683","Braden Schneider","NYR","D","65","1012","3","9","3","6","12","29.27","78","3.85","3.05","177","112","47","6","2","23","10","5","5","0","0","6","76","10","105","170","104","0","0","-"
"688","Kaiden Guhle","MTL","D","44","795.68333333333","4","8","5","3","12","33.33","56","7.14","2.16","138","87","35","3","8","9","27","12","11","1","0","7","30","9","60","90","67","0","0","-"
"708","Brock Faber","MIN","D","61","1175.3666666667","4","8","1","7","12","30.00","68","5.88","3.15","183","106","60","11","7","18","19","8","7","1","0","9","72","19","20","76","59","0","0","-"
"717","Luke Evangelista","NSH","R","51","600.68333333333","1","11","5","6","12","75.00","83","1.20","6.83","132","107","69","30","3","9","18","9","9","0","0","12","19","10","21","57","10","0","1","0.00"
"797","Emil Lilleberg","T.B","D","59","857.16666666667","0","12","5","7","12","44.44","37","0.00","1.94","131","77","28","4","5","11","87","29","21","7","1","18","43","8","90","144","43","0","0","-"
"823","Pavel Mintyukov","ANA","D","51","804.65","5","7","4","3","12","34.29","45","11.11","3.09","113","76","43","9","1","14","14","7","7","0","0","4","47","9","58","51","57","0","0","-"
"825","Frank Nazar","CHI","C","36","451.73333333333","3","9","6","3","12","63.16","39","7.69","4.26","76","58","50","24","6","8","8","4","4","0","0","10","27","6","19","42","18","67","89","42.95"
"1","Ryan Suter","STL","D","65","1139.3666666667","1","10","5","5","11","22.45","43","2.33","2.14","120","71","39","5","9","10","20","10","10","0","0","2","52","12","25","58","64","0","0","-"
"37","Zach Bogosian","MIN","D","64","905.41666666667","4","7","4","3","11","40.74","59","6.78","1.78","153","92","39","8","6","14","35","15","14","1","0","4","54","15","64","46","58","0","0","-"
"47","Gustav Nyquist","MIN, NSH","C, R","62","826.78333333333","3","8","5","3","11","50.00","51","5.88","6.67","131","88","81","35","5","14","10","5","5","0","0","8","46","12","30","42","20","8","11","42.11"
"62","Dmitry Kulikov","FLA","D","65","1087.4","3","8","2","6","11","25.00","54","5.56","2.61","147","84","33","4","8","11","34","13","12","0","1","9","63","27","98","91","54","0","0","-"
"67","Tomas Tatar","N.J","L","60","593.15","5","6","2","4","11","52.38","47","10.64","5.35","91","63","48","26","3","10","16","8","8","0","0","5","28","5","43","49","13","6","3","66.67"
"85","Chris Tanev","TOR","D","57","930.23333333333","2","9","4","5","11","24.44","29","6.90","1.14","90","49","23","4","2","5","16","8","8","0","0","5","58","8","11","100","104","0","0","-"
"218","Carson Soucy","NYR, VAN","D","62","944.1","4","7","2","5","11","37.93","61","6.56","2.37","155","93","36","4","2","16","44","18","17","0","1","4","59","15","74","98","75","0","0","-"
"289","Kasperi Kapanen","EDM, STL","R","48","529.31666666667","6","5","3","2","11","57.89","46","13.04","4.04","88","67","41","20","3","8","10","5","5","0","0","8","27","7","68","23","9","11","19","36.67"
"315","Kevin Labanc","CBJ","R","34","332.03333333333","2","9","2","7","11","84.62","31","6.45","2.33","86","53","32","12","3","5","10","5","5","0","0","2","13","6","27","20","14","0","3","0.00"
"425","Andrew Peeke","BOS","D","60","957.21666666667","0","11","8","3","11","36.67","56","0.00","2.25","152","96","35","6","6","18","8","4","4","0","0","1","76","12","74","128","80","0","0","-"
"455","Michael Eyssimont","SEA, T.B","C","60","633.91666666667","6","5","1","4","11","55.00","105","5.71","9.79","187","146","91","45","11","16","46","20","18","2","0","16","25","6","86","86","21","2","7","22.22"
"511","Alex Iafallo","WPG","L","66","614.98333333333","5","6","4","2","11","45.83","57","8.77","6.66","104","85","63","40","5","11","15","6","5","1","0","4","19","13","28","25","39","4","7","36.36"
"533","Zach Whitecloud","VGK","D","57","888.98333333333","4","7","3","4","11","31.43","56","7.14","2.5","148","88","43","6","4","14","25","11","10","1","0","10","58","10","82","134","73","0","0","-"
"556","Oskar Bäck","DAL","C","58","603.15","3","8","6","2","11","73.33","31","9.68","5.87","74","57","57","36","2","10","6","3","3","0","0","3","44","10","22","82","22","73","52","58.40"
"609","Blake Lizotte","PIT","C","48","514.03333333333","6","5","2","3","11","73.33","34","17.65","4.28","69","53","36","18","2","6","24","12","12","0","0","3","28","5","47","60","20","123","113","52.12"
"627","Cam York","PHI","D","51","939.66666666667","4","7","2","5","11","31.43","56","7.14","3.74","139","93","47","15","6","8","22","11","11","0","0","4","59","18","38","129","70","0","0","-"
"700","Jake Sanderson","OTT","D","63","1051","1","10","4","6","11","42.31","89","1.12","2.7","209","126","52","2","10","10","6","3","3","0","0","6","63","30","27","147","90","0","0","-"
"753","Josh Doan","UTA","R","33","382.53333333333","2","9","6","3","11","73.33","41","4.88","4.7","97","74","34","19","7","10","6","3","3","0","0","3","15","6","26","31","11","22","36","37.93"
"776","Zachary L'Heureux","NSH","L","45","477.98333333333","3","8","4","4","11","61.11","47","6.38","7.34","105","87","65","36","4","12","42","15","11","4","0","12","25","6","141","56","11","0","1","0.00"
"845","Andrei Kuzmenko","CGY, L.A, PHI","L","47","585.45","2","9","4","5","11","57.89","40","5.00","5.39","88","62","52","26","0","11","10","5","5","0","0","12","35","17","12","38","14","1","0","100.00"
"32","Alec Martinez","CHI","D","38","636.48333333333","5","5","0","5","10","35.71","32","15.63","1.25","96","55","25","0","3","6","8","3","3","0","0","0","36","6","20","57","69","0","0","-"
"41","Jordan Eberle","SEA","R","25","305.46666666667","5","5","4","1","10","62.50","31","16.13","4.3","56","45","41","25","2","4","8","4","4","0","0","3","17","12","5","28","15","3","5","37.50"
"93","Justin Faulk","STL","D","61","1100.3833333333","1","9","4","5","10","40.00","76","1.32","3.36","180","110","56","9","8","25","18","9","9","0","0","2","74","19","60","56","76","0","0","-"
"120","Colin Blackwell","DAL","C","51","489.63333333333","3","7","3","4","10","58.82","47","6.38","5.09","103","67","47","23","2","10","6","3","3","0","0","8","25","11","72","47","17","68","76","47.22"
"151","Jamie Oleksiak","SEA","D","65","1022.9666666667","4","6","4","2","10","32.26","55","7.27","2.98","145","100","43","8","8","12","16","8","8","0","0","4","64","16","46","81","99","0","0","-"
"159","Colin Miller","WPG","D","48","636.13333333333","2","8","6","2","10","50.00","51","3.92","1.64","136","81","26","3","4","13","30","11","10","0","1","9","40","8","67","81","39","0","0","-"
"172","Mark Jankowski","CAR, NSH","C, L","43","440.03333333333","5","5","4","1","10","76.92","39","12.82","6.64","87","64","60","37","4","11","15","6","5","1","0","3","15","3","23","35","18","89","88","50.28"
"185","Oskar Sundqvist","STL","C","51","551.8","2","8","6","2","10","58.82","32","6.25","4.35","79","54","37","18","2","8","24","12","12","0","0","11","30","12","64","40","34","171","219","43.85"
"234","Michael McCarron","NSH","C, R","56","603.68333333333","4","6","3","3","10","62.50","55","7.27","7.02","112","84","59","34","5","10","62","19","11","8","0","17","18","9","110","68","32","298","235","55.91"
"244","Brett Pesce","N.J","D","57","1010.7833333333","0","10","6","4","10","33.33","69","0.00","2.59","161","91","48","4","8","12","13","5","4","1","0","8","47","18","21","82","74","0","0","-"
"248","Seth Jones","CHI, FLA","D","46","831.98333333333","2","8","5","3","10","30.30","65","3.08","2.37","153","93","36","3","5","11","18","9","9","0","0","4","50","16","60","59","70","0","0","-"
"264","Nathan Walker","STL","L","56","608.63333333333","7","3","2","1","10","62.50","45","15.56","5.1","91","68","49","22","4","4","38","13","9","4","0","14","30","8","201","71","28","67","55","54.92"
"339","Erik Cernak","T.B","D","58","904.55","2","8","5","3","10","27.03","50","4.00","1.71","137","81","41","5","7","10","29","13","12","1","0","7","27","13","107","76","63","0","0","-"
"365","Mathieu Joseph","STL","R","46","494.45","3","7","6","1","10","58.82","58","5.17","5.81","105","83","62","28","5","6","14","7","7","0","0","8","18","11","89","42","23","29","25","53.70"
"429","Logan Stanley","WPG","D","51","713.75","1","9","3","6","10","41.67","37","2.70","1.51","106","63","23","3","2","8","72","21","15","4","2","8","47","9","66","93","50","0","0","-"
"467","Justin Danforth","CBJ","R","43","510.7","5","5","3","2","10","62.50","57","8.77","6.99","87","74","57","34","6","11","10","5","5","0","0","1","19","5","89","48","27","190","192","49.74"
"473","Nicolas Hague","VGK","D","53","818.43333333333","4","6","2","4","10","38.46","63","6.35","2.6","148","88","33","7","5","13","34","11","7","4","0","9","44","15","55","122","52","0","0","-"
"479","Michael Rasmussen","DET","C","59","649.76666666667","5","5","2","3","10","41.67","66","7.58","7.28","118","88","70","40","7","7","13","5","4","1","0","6","28","6","106","68","35","75","78","49.02"
"483","Urho Vaakanainen","ANA, NYR","D","38","566.61666666667","2","8","3","5","10","50.00","28","7.14","1.4","76","50","18","6","5","7","16","8","8","0","0","6","26","8","13","59","35","0","0","-"
"554","Jack Drury","CAR, COL","C","56","584.73333333333","6","4","2","2","10","55.56","70","8.57","6.72","138","110","70","24","15","6","14","7","7","0","0","4","24","7","24","75","27","264","194","57.64"
"634","Drew Helleson","ANA","D","37","570.5","4","6","4","2","10","45.45","40","10.00","1.75","104","63","27","6","5","5","31","10","8","1","1","4","26","11","65","68","48","0","0","-"
"636","Henry Thrun","S.J","D","52","798.93333333333","1","9","2","7","10","37.04","43","2.33","1.24","96","63","21","0","1","6","25","11","10","1","0","5","26","10","34","83","48","0","0","-"
"640","Philip Tomasino","NSH, PIT","C, R","49","556.83333333333","6","4","3","1","10","58.82","64","9.38","6.16","112","86","63","29","10","12","6","3","3","0","0","8","26","11","48","62","18","5","10","33.33"
"692","Ridly Greig","OTT","C","61","780.45","4","6","5","1","10","38.46","63","6.35","8.11","132","110","79","43","4","10","43","19","18","1","0","15","22","12","108","96","29","94","96","49.47"
"710","Alexander Holtz","VGK","R","49","535.13333333333","3","7","3","4","10","58.82","59","5.08","6.96","112","93","55","25","7","12","6","3","3","0","0","4","29","3","38","54","13","3","8","27.27"
"858","Uvis Balinskis","FLA","D","59","760.63333333333","4","6","0","6","10","35.71","64","6.25","2.51","133","88","35","4","3","13","19","8","7","1","0","7","29","18","56","85","41","0","2","0.00"
"46","TJ Brodie","CHI","D","54","806.85","2","7","0","7","9","39.13","22","9.09","1.42","75","45","22","4","3","7","18","9","9","0","0","3","45","13","15","95","58","0","0","-"
"74","Casey Cizikas","NYI","C","64","738.78333333333","4","5","3","2","9","50.00","64","6.25","8.23","136","111","73","45","5","11","28","11","9","2","0","15","27","12","166","75","41","212","167","55.94"
"78","Erik Haula","N.J","L","54","629.1","5","4","1","3","9","40.91","70","7.14","8.48","123","102","70","45","11","13","33","15","14","1","0","8","30","11","79","37","23","278","239","53.77"
"98","Kevin Hayes","PIT","R","50","483","4","5","3","2","9","60.00","58","6.90","8.05","125","96","67","31","8","20","4","2","2","0","0","4","25","10","34","18","7","144","134","51.80"
"180","Jacob Trouba","ANA, NYR","D","62","1068.05","1","8","7","1","9","20.45","88","1.14","3.33","203","127","41","7","8","22","44","19","17","2","0","9","67","23","114","50","151","0","0","-"
"182","Radek Faksa","STL","C","53","595.23333333333","3","6","5","1","9","52.94","43","6.98","4.16","102","72","50","26","7","9","28","14","14","0","0","5","20","6","93","69","31","269","210","56.16"
"188","Shayne Gostisbehere","CAR","D","57","801.43333333333","3","6","2","4","9","28.13","66","4.55","3.18","178","115","47","7","8","22","26","13","13","0","0","9","57","17","34","40","37","0","0","-"
"217","Connor Clifton","BUF","D","54","659.98333333333","0","9","4","5","9","32.14","38","0.00","2.17","126","69","31","7","0","12","29","13","12","1","0","4","49","17","136","110","54","0","0","-"
"329","Jonas Siegenthaler","N.J","D","55","923.08333333333","2","7","1","6","9","31.03","48","4.17","2.08","128","77","45","5","5","12","44","18","17","0","1","13","54","11","61","119","71","0","0","-"
"375","Yakov Trenin","MIN","C","59","660.28333333333","4","5","2","3","9","42.86","53","7.55","6.9","120","91","53","29","4","9","35","15","14","1","0","14","40","6","169","64","25","13","18","41.94"
"382","Will Borgen","NYR, SEA","D","67","1027.8833333333","3","6","3","3","9","25.00","60","5.00","2.11","167","95","38","5","6","15","32","9","6","2","1","10","53","16","100","142","87","0","0","-"
"421","Beck Malenstyn","BUF","L","59","509.98333333333","4","5","4","1","9","69.23","47","8.51","5.12","97","75","50","28","5","11","23","10","9","1","0","13","29","4","144","76","38","13","8","61.90"
"460","Tanner Jeannot","L.A","L","60","658.93333333333","5","4","2","2","9","45.00","47","10.64","6.58","106","79","66","40","6","17","70","22","14","8","0","18","34","2","186","77","31","6","9","40.00"
"476","Mario Ferraro","S.J","D","66","1180.0666666667","4","5","3","2","9","23.08","61","6.56","3.67","162","100","53","10","5","17","41","16","13","3","0","10","57","31","128","127","70","0","0","-"
